CustomerID,City,Churn,PlanType,EducationLevel,WorkStatus,Gender,RelationshipStatus,PaymentPerMonth,WeeksSinceClaim,OpenPolicies,RenewOfferType,Reachability,VehicleType,InceptionDate,CancelledDate,Premium,TotalClaimValue,TotalClaimNumber,NumberOfComplaints,Age
1,Pune,Yes,Premium Plan,Bachelor,Employed,Female,Married,891.22,109,1,Online Portal,Online Portal,Scooter,2020-11-17,2020-06-21,11544.21,32844.34,4,2,52
2,Delhi,No,Premium Plan,Doctorate,Unemployed,Male,Married,1750.42,56,3,Online Portal,Online Portal,Hatchback,2010-06-05,,14697.0,3129.07,0,0,47
3,Hyderabad,No,Standard Plan,Master,Unemployed,Female,Married,3098.08,18,1,Customer Call Centre,Customer Call Centre,Motorcycle,2022-08-13,,43591.22,19626.19,1,2,47
4,Pune,No,Standard Plan,Bachelor,Employed,Female,Married,3241.09,44,5,Online Portal,Online Portal,Mini Truck,2014-09-05,,32719.99,28290.54,1,2,61
5,Delhi,No,Premium Plan,Diploma,Unemployed,Male,Single,4609.11,146,3,Branch Visit,Branch Visit,Sedan,2014-03-02,,8857.84,7841.89,5,0,65
6,Hyderabad,No,Standard Plan,Doctorate,Employed,Male,Widowed,2792.87,24,1,Customer Call Centre,Branch Visit,Sedan,2013-10-18,,5049.33,19699.35,1,0,47
7,Hyderabad,No,Basic Plan,Bachelor,Employed,Female,Married,1700.71,88,1,Online Portal,Agent Contact,SUV,2012-05-17,,36544.67,48622.52,3,1,66
8,Mumbai,No,Basic Plan,Bachelor,Employed,Female,Single,3931.3,139,5,Online Portal,Agent Contact,Motorcycle,2022-07-13,,44178.65,41751.61,4,0,37
9,Mumbai,No,Standard Plan,Bachelor,Employed,Female,Widowed,2897.18,33,2,Agent Contact,Agent Contact,Sedan,2011-09-29,,31116.51,48253.78,3,2,52
10,Ahmedabad,No,Standard Plan,Bachelor,Employed,Male,Married,2531.69,64,2,Online Portal,Online Portal,Sedan,2021-07-06,,2345.16,35684.21,2,0,21
11,Mumbai,No,Basic Plan,Bachelor,Self-Employed,Female,Single,1095.4,147,5,Customer Call Centre,Branch Visit,Scooter,2022-08-08,,6652.68,22121.51,1,1,45
12,Delhi,No,Premium Plan,Master,Employed,Male,Married,4102.67,28,2,Branch Visit,Agent Contact,Scooter,2019-04-12,,24206.15,43849.81,1,0,22
13,Chennai,No,Standard Plan,Bachelor,Student,Female,Widowed,4668.65,61,2,Branch Visit,Branch Visit,Motorcycle,2011-06-25,,9902.58,1105.61,3,1,42
14,Mumbai,No,Standard Plan,Master,Student,Female,Married,3732.84,40,2,Agent Contact,Online Portal,Sedan,2020-01-18,,37902.83,3801.1,1,1,55
