Customer_ID,Age,Gender,Marital_Status,Region,Education_Level,Employment_Status,Policy_Type,Policy_Tenure,Policy_Renewal_Count,Total_Claims_Filed,Claim_Amount_Total,Missed_Payments,Family_Members_Insured,Policy_Cancellation_History,Mode_of_Communication,Payment_Mode,Customer_Complaints,Complaint_Resolution_Time,Customer_Support_Calls,Policy_Start_Date,Policy_End_Date,Last_Claim_Date,Last_Payment_Date,Vehicle_Age,Vehicle_Type,Premium_Amount,Churn,Age_Group,Policy_Duration,Policy_Age,Time_Since_Last_Claim,Time_Since_Last_Payment
C1,56,Male,Married,Urban,Master's,Employed,Comprehensive,1,4,2,261475,0,4,1,Email,Credit Card,2,14,5,2021-02-12,2022-02-12,2022-09-08,2022-07-31,2,Hatchback,5230,0.0,"(55, 65]",365.0,2.9623545516769334,509.0,548
C2,69,Male,Married,Metro,Master's,Employed,Comprehensive,6,4,2,421019,3,4,2,Email,Cash,8,12,8,,2023-12-08,,2019-04-04,4,SUV,29617,0.0,"(65, 100]",0.0,0.0,0.0,1762
C3,46,Male,Married,Urban,Master's,Self-Employed,Comprehensive,1,0,4,19426,0,2,1,In-Person,Credit Card,2,9,3,2022-03-12,2023-03-12,,2023-05-22,6,Hatchback,12751,0.0,"(45, 55]",365.0,1.8863791923340179,0.0,253
C4,32,Female,Single,Metro,Master's,Unemployed,Third Party,7,2,3,465559,3,2,0,Email,Cash,0,20,7,2016-02-11,2023-01-11,,2020-03-29,12,Hatchback,10390,0.0,"(25, 35]",2526.0,7.967145790554415,0.0,1402
C5,60,Male,Married,Urban,Master's,Self-Employed,Comprehensive,4,1,3,89838,0,1,0,In-Person,Online,6,17,7,,,,2023-11-11,6,Hatchback,7617,0.0,"(55, 65]",0.0,0.0,0.0,80
C6,25,Female,Married,Rural,Bachelor's,Employed,Comprehensive,7,3,0,418477,1,2,1,In-Person,Cash,9,4,4,2016-08-12,2023-07-12,2000-01-01,2022-09-14,12,Sedan,7642,0.0,"(18, 25]",2525.0,7.4661190965092405,8795.0,503
C7,38,Male,Married,Rural,Master's,Employed,Comprehensive,1,2,3,442972,0,1,0,Phone,Online,2,12,8,,,,2020-01-21,1,SUV,17087,0.0,"(35, 45]",0.0,0.0,0.0,1470
C8,56,Female,Married,Rural,Bachelor's,Employed,Third Party,3,4,2,294443,1,3,1,Phone,Cheque,2,28,2,2023-02-06,,2023-09-08,2023-07-13,13,Hatchback,18353,0.0,"(55, 65]",0.0,0.9801505817932923,144.0,201
C9,36,Male,Single,Urban,Bachelor's,Employed,Third Party,3,5,2,251366,1,1,2,In-Person,Credit Card,7,11,8,2023-06-12,,2024-05-01,2023-12-31,13,Luxury,18686,0.0,"(35, 45]",0.0,0.6351813826146475,-92.0,30
C10,40,Male,Married,Urban,Master's,Employed,Comprehensive,9,0,3,364906,1,1,2,Email,Online,3,21,7,,,,2021-08-20,13,SUV,16296,0.0,"(35, 45]",0.0,0.0,0.0,893
