Customer_ID,Age,Gender,Marital_Status,Region,Education_Level,Employment_Status,Policy_Type,premium_amount,Policy_Tenure,Policy_Renewal_Count,Total_Claims_Filed,Claim_Amount_Total,Missed_Payments,Discount_Availed,Family_Members_Insured,Policy_Cancellation_History,Mode_of_Communication,Payment_Mode,Customer_Complaints,Complaint_Resolution_Time,Customer_Support_Calls,Customer_Join_Date,Policy_Start_Date,Vehicle_Age,Vehicle_Type,Last_Claim_Date,Last_Payment_Date,Churn
1,56,Male,Single,Metro,Bachelor,Self-Employed,Comprehensive,4890.33,3,6,1,28803.51,3,0,4,3,Email,Cash,7.0,23,15,2016-01-24,2018-02-11,5,Hatchback,2020-10-10,2019-07-27,0
2,70,Female,Single,Rural,Master,Employed,Comprehensive,8545.35,5,6,1,178108.07,1,0,2,2,Email,Net Banking,6.0,10,18,2019-04-08,2023-01-01,0,SUV,2020-08-01,2023-05-01,0
3,44,Female,Divorced,Urban,High School,Employed,Comprehensive,7664.58,1,0,5,371235.96,4,0,1,3,Phone,Net Banking,8.0,4,19,2017-12-04,2020-12-27,3,SUV,,2023-01-18,0
4,31,Female,Single,Urban,High School,Employed,Comprehensive,2218.74,3,4,4,71851.38,4,0,5,2,Email,Cash,,27,14,2016-10-14,2017-04-28,6,SUV,2022-03-16,2019-10-06,1
5,61,Male,Married,Urban,High School,Employed,Third-Party,8736.41,1,1,3,42410.76,4,0,4,2,Agent,Credit Card,,2,19,2015-01-03,2017-11-23,6,Hatchback,2020-04-26,2019-02-11,0
6,25,Female,Single,Rural,Bachelor,Employed,Comprehensive,8868.51,5,6,4,268923.33,2,0,5,1,Phone,Cash,1.0,2,14,2018-04-17,2018-05-23,4,Hatchback,2023-12-24,2022-10-18,0
7,36,Female,Single,Metro,Master,Employed,Third-Party,3904.42,3,2,5,315724.58,2,1,2,2,Agent,Credit Card,8.0,19,10,2015-09-07,2019-09-09,4,Sedan,2020-12-26,2019-07-28,0
8,56,Male,Married,Metro,Master,Student,Comprehensive,7974.94,3,0,3,17336.48,1,0,3,1,SMS,Cash,0.0,25,11,2021-04-15,2022-07-15,1,SUV,2021-05-04,2022-04-28,1
9,37,Male,Married,Rural,Bachelor,Employed,Third-Party,9076.25,3,1,0,255703.07,0,0,4,1,Phone,Cash,0.0,5,9,2019-01-25,2022-02-12,1,Sedan,2017-09-13,2023-09-08,0
10,42,Female,Married,Metro,Bachelor,Employed,Third-Party,7710.79,5,3,0,347837.87,3,0,3,3,Phone,Cash,4.0,9,7,2017-12-14,2023-11-09,0,Sedan,2015-02-18,2023-04-06,0
