Customer_ID,Age,Gender,Marital_Status,Region,Education_Level,Employment_Status,Policy_Type,Policy_Tenure,Policy_Renewal_Count,Total_Claims_Filed,Claim_Amount_Total,Missed_Payments,Family_Members_Insured,Policy_Cancellation_History,Mode_of_Communication,Payment_Mode,Customer_Complaints,Complaint_Resolution_Time,Customer_Support_Calls,Policy_Start_Date,Policy_End_Date,Last_Claim_Date,Last_Payment_Date,Vehicle_Age,Vehicle_Type,Premium_Amount,Churn,Age_Group,YearMonth,churn_probability,Risk_Group
C1,56,Male,Married,Urban,Master's,Employed,Comprehensive,1,4,2,261475,0,4,1,Email,Credit Card,2,14,5,2021-12-02,02-12-2022,09-08-2022,31-07-2022,2,Hatchback,5230,0.0,"(55, 65]",2021-12,0.9534788148233919,High
C2,69,Male,Married,Metro,Master's,Employed,Comprehensive,6,4,2,421019,3,4,2,Email,Cash,8,12,8,2017-08-13,12-08-2023,19-07-2020,04-04-2019,4,SUV,29617,0.0,"(65, 100]",2017-08,0.9906238525046493,High
C3,46,Male,Married,Urban,Master's,Self-Employed,Comprehensive,1,0,4,19426,0,2,1,In-Person,Credit Card,2,9,3,2022-12-03,03-12-2023,29-04-2023,22-05-2023,6,Hatchback,12751,0.0,"(45, 55]",2022-12,0.30437237151759733,Low
C4,32,Female,Single,Metro,Master's,Unemployed,Third Party,7,2,3,465559,3,2,0,Email,Cash,0,20,7,2016-11-02,01-11-2023,21-09-2019,29-03-2020,12,Hatchback,10390,0.0,"(25, 35]",2016-11,0.6995815937135584,Medium
C5,60,Male,Married,Urban,Master's,Self-Employed,Comprehensive,4,1,3,89838,0,1,0,In-Person,Online,6,17,7,2023-04-23,31-12-2023,27-10-2023,11-11-2023,6,Hatchback,7617,0.0,"(55, 65]",2023-04,0.7472627953756171,High
C6,25,Female,Married,Rural,Bachelor's,Employed,Comprehensive,7,3,0,418477,1,2,1,In-Person,Cash,9,4,4,2016-12-08,07-12-2023,2000-01-01 00:00:00,14-09-2022,12,Sedan,7642,0.0,"(18, 25]",2016-12,0.807489244917577,High
C7,38,Male,Married,Rural,Master's,Employed,Comprehensive,1,2,3,442972,0,1,0,Phone,Online,2,12,8,2019-07-25,24-07-2020,30-09-2019,21-01-2020,1,SUV,17087,0.0,"(35, 45]",2019-07,0.5656705999216057,Medium
C8,56,Female,Married,Rural,Bachelor's,Employed,Third Party,3,4,2,294443,1,3,1,Phone,Cheque,2,28,2,2023-06-02,31-12-2023,09-08-2023,13-07-2023,13,Hatchback,18353,0.0,"(55, 65]",2023-06,0.2053850588948688,Low
C9,36,Male,Single,Urban,Bachelor's,Employed,Third Party,3,5,2,251366,1,1,2,In-Person,Credit Card,7,11,8,2023-12-06,31-12-2023,05-01-2024,31-12-2023,13,Luxury,18686,0.0,"(35, 45]",2023-12,0.01800242804624308,Low
C10,40,Male,Married,Urban,Master's,Employed,Comprehensive,9,0,3,364906,1,1,2,Email,Online,3,21,7,2019-05-14,31-12-2023,24-09-2020,20-08-2021,13,SUV,16296,0.0,"(35, 45]",2019-05,0.4501860487900149,Medium
C11,28,Male,Married,Urban,Bachelor's,Unemployed,Comprehensive,6,4,1,451632,1,4,2,Phone,Cheque,2,22,1,2021-12-15,31-12-2023,13-08-2022,02-08-2022,5,Sedan,15439,0.0,"(25, 35]",2021-12,0.958390927356825,High
C12,28,Male,Married,Metro,Bachelor's,Employed,Comprehensive,7,4,3,79715,3,4,0,Email,Cash,2,29,3,2016-09-09,08-09-2023,16-06-2018,23-07-2019,4,Sedan,11724,0.0,"(25, 35]",2016-09,0.28918413055467085,Low
C13,41,Male,Single,Metro,Bachelor's,Employed,Third Party,8,5,0,477040,2,4,2,In-Person,Credit Card,2,18,7,2022-04-02,31-12-2023,2000-01-01 00:00:00,08-08-2022,4,SUV,19502,0.0,"(35, 45]",2022-04,0.05259298747430563,Low
